ID,Material Name,Category,Density (g/cm3),Yield Strength (MPa),Tensile Strength (MPa),Hardness,Young's Modulus (GPa),Fatigue Strength (MPa),Elongation (%),Thermal Cond. (W/mÂ·K),Electrical Cond. (MS/m),Specific Heat (J/kgÂ·K),Melting Point (Â°C),Max Service Temp (Â°C),Corrosion Resistance,Wear Resistance,Impact Toughness,Weldability,Machinability,Formability,Cost,Weight,Recyclability,Magnetic,Common Applications,Manufacturing Methods,Advantages,Limitations,Keywords,Material Family,Source Reference,Confidence Level,CO2 Footprint (kg CO2/kg),Datasheet URL,Best: Lightweight,Best: High Temp,Best: Low Cost,Best: Corrosion Resist.,Best: 3D Printing
20,Tool Steel D2,Carbon/Alloy Steel,7.7,1500,1900,60 HRC,210,700,2,20,2.3,460,1421,425,"Fair (high-Cr, semi-stainless)",Very High,Low,Poor,Poor,Poor,High,Heavy,High,Yes,Cutting tools;dies;punches;shear blades,Forging;Machining;Hardening;Grinding,Very high wear resistance and hardness,Low toughness;difficult to machine/weld,d2,Carbon/Alloy Steel,To be verified,Typical,N/A,N/A,No,Yes,No,No,No
21,Stainless Steel 304,Stainless Steel,8,215,505,150 HB,193,250,55,16.2,1.45,500,1400,870,Excellent,Low,High,Excellent,Fair,Excellent,Medium,Heavy,High,No,Kitchen equipment;piping;architectural trim,Forming;Welding;CNC,Excellent corrosion resistance;good formability/weldability,Susceptible to chloride pitting/SCC,304,Stainless Steel,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
22,Stainless Steel 304L,Stainless Steel,8,170,485,149 HB,193,240,40,16.2,1.45,500,1400,870,Excellent,Low,High,Excellent,Fair,Excellent,Medium,Heavy,High,No,Welded pressure vessels;food/pharma equipment,Welding;Forming,Low carbon avoids weld-decay sensitization,Slightly lower strength than 304,304l,Stainless Steel,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
23,Stainless Steel 316,Stainless Steel,8,205,515,150 HB,193,256,50,16.3,1.35,500,1375,870,Excellent (incl. chlorides),Low,High,Excellent,Fair,Excellent,Medium-High,Heavy,High,No,Marine hardware;chemical/pharma equipment,Forming;Welding;CNC,Superior pitting/crevice corrosion resistance (Mo-alloyed),Higher cost than 304,316,Stainless Steel,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
24,Stainless Steel 316L,Stainless Steel,8,170,485,149 HB,193,246,40,16.3,1.35,500,1375,870,Excellent (incl. chlorides),Low,High,Excellent,Fair,Excellent,Medium-High,Heavy,High,No,Surgical implants;welded chemical equipment,Welding;Forming,Low carbon prevents sensitization; excellent for welded/medical use,Higher cost;lower strength than 316,316l,Stainless Steel,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
25,Stainless Steel 410,Stainless Steel,7.7,275,485,200 HB (ann.),200,240,25,24.9,2.8,460,1480,650,Fair,Medium-High,Medium,Fair,Fair,Fair,Low,Heavy,High,Yes,Cutlery;pump/valve parts;fasteners,Forging;Q&T;Machining,"Hardenable, moderate corrosion resistance, low cost",Lower corrosion resistance than austenitic grades,410,Stainless Steel,To be verified,Typical,N/A,N/A,No,Yes,Yes,No,No
26,Stainless Steel 420,Stainless Steel,7.75,345,655,235 HB (ann.),200,300,15,24.9,2.7,460,1450,650,Fair,High (hardened),Low-Medium,Fair,Fair,Fair,Low,Heavy,High,Yes,Surgical/kitchen knives;molds;valve trim,Forging;Hardening;Grinding,High hardness and edge retention after heat treatment,Lower corrosion resistance than austenitic grades,420,Stainless Steel,To be verified,Typical,N/A,N/A,No,Yes,Yes,No,No
27,Stainless Steel 430,Stainless Steel,7.7,310,450,183 HB,200,220,22,26.1,2.5,460,1425,815,Good,Low-Medium,Medium,Fair,Good,Good,Low,Heavy,High,Yes,Automotive trim;appliance panels;exhaust systems,Forming;Welding,Good corrosion resistance at low cost;magnetic (ferritic),Not hardenable by heat treatment;lower toughness,430,Stainless Steel,To be verified,Typical,N/A,N/A,No,Yes,Yes,No,No
28,Stainless Steel 17-4PH,Stainless Steel,7.75,1170,1310,388 HB (H900),196,600,12,18.3,1.6,460,1400,315,Very Good,High,Medium,Fair,Fair,Fair,High,Heavy,High,Yes,Aerospace fittings;pump shafts;high-strength precision parts,Precipitation hardening;Machining,High strength combined with good corrosion resistance,Limited to lower service temperatures,17-4ph,Stainless Steel,To be verified,Typical,N/A,N/A,No,No,No,No,No
29,Stainless Steel 2205,Stainless Steel,7.8,450,655,250 HB,200,350,25,19,1.35,480,1370,300,Excellent (incl. chlorides/SCC),Medium,High,Good,Fair,Fair,High,Heavy,High,Yes,Offshore/chemical piping;desalination equipment,Forging;Welding,High strength and excellent SCC resistance (duplex),Requires careful welding procedures,2205,Stainless Steel,To be verified,Typical,N/A,N/A,No,No,No,Yes,No
30,Stainless Steel 2507,Stainless Steel,7.8,550,795,310 HB,200,400,25,17,1.2,480,1350,300,Excellent (super duplex),Medium,High,Good,Fair,Fair,High,Heavy,High,Yes,Subsea equipment;desalination;high-chloride service,Forging;Welding,Superior strength and pitting resistance (PREN>40),High cost;careful welding required,2507,Stainless Steel,To be verified,Typical,N/A,N/A,No,No,No,Yes,No
31,Titanium Alloy Grade 2,Titanium Alloy,4.51,275,400,120 HB,103,180,20,16.4,2.34,523,1670,300,Excellent,Medium,High,Good,Fair,Good,High,Light,High,No,Chemical processing;marine hardware;medical implants,Forming;Welding;CNC,"Excellent corrosion resistance, biocompatible, low density",Lower strength than alloyed grades,grade2,Titanium Alloy,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
32,Titanium Alloy Grade 5 (Ti-6Al-4V),Titanium Alloy,4.43,880,950,334 HB,113.8,510,14,6.7,0.58,526,1660,400,Excellent,Medium,High,Fair,Poor,Fair,High,Light,High,No,Aerospace structures;implants;airframe components,Forging;Machining;Additive Mfg,Outstanding strength-to-weight ratio;excellent corrosion resistance,Poor machinability;high cost,grade5,Titanium Alloy,MatWeb - verified (exact match),Verified (spot-checked),N/A,N/A,Yes,Yes,No,Yes,Yes
33,Titanium Alloy Grade 9 (Ti-3Al-2.5V),Titanium Alloy,4.48,655,825,270 HB,110,450,18,8.1,0.6,523,1650,315,Excellent,Medium,High,Good,Fair,Good,High,Light,High,No,Hydraulic/pneumatic tubing;bicycle frames,Cold working;Welding,Good weldability and formability for a Ti alloy,Lower strength than Grade 5,grade9,Titanium Alloy,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
34,Titanium Alloy Grade 23 (Ti-6Al-4V ELI),Titanium Alloy,4.43,795,860,300 HB,114,500,15,7.1,0.58,526,1660,400,Excellent,Medium,High,Fair,Poor,Fair,High,Light,High,No,Surgical implants;biomedical devices,Forging;Machining,Extra-low interstitials improve fracture toughness for implants,High cost;poor machinability,grade23,Titanium Alloy,To be verified,Typical,N/A,N/A,Yes,Yes,No,Yes,No
35,Titanium Alloy Beta C,Titanium Alloy,4.82,900,1000,350 HB (aged),103,550,8,8.4,0.6,500,1650,315,Excellent,Medium-High,Medium,Fair,Fair,Excellent (solution treated),High,Light,High,No,Springs;fasteners;deep-sea/aerospace components,Solution treat & age;Cold forming,Excellent formability before aging; very high strength after aging,Complex heat treatment;high cost,beta c,Titanium Alloy,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
36,Nickel Alloy Inconel 625,Nickel Alloy,8.44,460,830,220 HB,207.5,370,42,9.8,0.8,410,1350,980,Outstanding,Medium,High,Excellent,Fair,Excellent,High,Heavy,High,No,Gas turbine components;marine risers;chemical processing,Casting;Forging;Welding,Outstanding corrosion and high-temperature strength,Very high cost;difficult machining,inconel625,Nickel Alloy,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
37,Nickel Alloy Inconel 718,Nickel Alloy,8.19,1100,1275,388 HB (aged),200,620,15,11.4,0.8,435,1300,700,Excellent,High,Medium,Fair,Poor,Fair,High,Heavy,High,No,Jet engine turbine disks/blades;high-temp fasteners,Forging;Precipitation hardening;Machining,Retains high strength at elevated temperature,High cost;poor machinability,inconel718,Nickel Alloy,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
38,Nickel Alloy Hastelloy C-276,Nickel Alloy,8.89,355,790,220 HB,205,375,50,9.4,0.77,427,1345,650,Outstanding (incl. reducing/oxidizing acids),Medium,High,Good,Fair,Excellent,High,Heavy,High,No,Flue-gas desulfurization;chemical reactors;pollution control,Welding;Forming,Exceptional resistance to a very wide range of corrosives,Very high cost,hastelloy c276,Nickel Alloy,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
39,Nickel Alloy Monel 400,Nickel Alloy,8.8,260,580,130 HB,179,280,45,21.8,1.4,427,1325,480,Outstanding (seawater/HF acid),Medium,High,Good,Fair,Excellent,High,Heavy,High,No,Marine propeller shafts;valves;chemical processing,Forging;Machining;Welding,Excellent resistance to seawater and hydrofluoric acid,High cost;limited high-temp strength,monel400,Nickel Alloy,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
40,Nickel Alloy Incoloy 800,Nickel Alloy,7.94,255,590,175 HB,196,275,38,11.5,0.98,460,1370,815,Very Good (high-temp oxidation),Medium,High,Good,Fair,Good,High,Heavy,High,No,Heat-treatment fixtures;furnace components;heat exchangers,Forging;Welding,Good oxidation/carburization resistance at high temperature,Lower strength than superalloys like 718,incoloy800,Nickel Alloy,To be verified,Typical,N/A,N/A,No,Yes,No,No,No
41,Copper Alloy - Copper (C11000),Copper Alloy,8.94,69,220,40 HB,117,97,45,391,58,385,1085,200,Good,Low,High,Excellent,Fair,Excellent,Medium,Heavy,High,No,Electrical wiring;bus bars;heat exchangers,Drawing;Rolling;Soldering,Best electrical/thermal conductivity of common engineering metals,Low strength;expensive vs steel/aluminium,copper,Copper Alloy,To be verified,Typical,N/A,N/A,No,No,No,No,No
42,Copper Alloy - Brass C360,Copper Alloy,8.5,310,380,78-135 HB,97,140,25,115,15.9,380,895,150,Good,Medium,Medium,Fair,Excellent,Fair,Low,Heavy,High,No,Fittings;fasteners;precision-machined components,Machining;Casting,Excellent machinability (free-cutting brass),Contains lead;lower corrosion resistance than bronze,brass c360,Copper Alloy,To be verified,Typical,N/A,N/A,No,No,Yes,No,No
43,Copper Alloy - Phosphor Bronze (C51000),Copper Alloy,8.86,420,500,180 HB (hard),110,200,8,68,10.5,380,1000,150,Very Good,High,Medium,Fair,Fair,Good,Medium,Heavy,High,No,Springs;bearings;bushings;electrical connectors,Rolling;Drawing;Forming,"Good wear resistance, fatigue strength and spring properties",Lower conductivity than pure copper,phosphor bronze,Copper Alloy,To be verified,Typical,N/A,N/A,No,No,No,No,No
44,Copper Alloy - Beryllium Copper (C17200),Copper Alloy,8.25,1100,1250,380 HB (peak aged),131,260,4,120,14,420,930,200,Good,High,Low,Fair,Fair,Poor (in aged condition),High,Heavy,High,No,Springs;electrical connectors;non-sparking tools,Age hardening;Machining,"Highest strength of common copper alloys, good conductivity",Beryllium dust is toxic;high cost,beryllium copper,Copper Alloy,To be verified,Typical,N/A,N/A,No,No,No,No,No
45,Copper Alloy - CuNi 90/10,Copper Alloy,8.9,105,310,80 HB,140,150,35,45,4.9,377,1120,300,Excellent (seawater),Medium,High,Good,Fair,Good,Medium,Heavy,High,No,Marine piping;seawater cooling systems;desalination,Welding;Forming,Excellent seawater corrosion and biofouling resistance,Lower strength than steel; higher cost,cuni90/10,Copper Alloy,To be verified,Typical,N/A,N/A,No,No,No,Yes,No
46,Polymer - ABS,Polymer,1.05,40,40,105 R-scale,2.3,18,25,0.2,0,1400,,85,"Good (chemical, not solvent)",Low,Medium,N/A (not welded like metal),Excellent,Good,Low,Very Light,Low-Medium,No,Enclosures;automotive trim;consumer products;3D printing,Injection molding;Extrusion;3D printing,"Tough, easy to mold, good impact resistance",Low temperature resistance; UV-sensitive,abs,Polymer,To be verified,Typical,N/A,N/A,Yes,No,Yes,No,Yes
47,Polymer - Nylon 6 (PA6),Polymer,1.14,80,85,85 R-scale (Rockwell M ~78),2.9,30,150,0.25,0,1700,220,110,Good,High,Medium,,Good,Good,Low-Medium,Very Light,Low-Medium,No,Gears;bushings;bearings;cable ties,Injection molding;Extrusion,Good wear resistance and toughness;self-lubricating,"Absorbs moisture, dimensions can shift",nylon6,Polymer,To be verified,Typical,N/A,N/A,Yes,No,No,No,No
48,Polymer - Polycarbonate (PC),Polymer,1.2,65,70,70 R-scale (Rockwell M),2.35,25,100,0.2,0,1250,,125,Good,Medium,High (very high impact),,Fair,Good,Medium,Very Light,Low-Medium,No,Safety glasses/visors;machine guards;optical lenses,Injection molding;Extrusion;Thermoforming,"Excellent impact/ fracture toughness, optical clarity",Scratches easily;attacked by some solvents,pc,Polymer,To be verified,Typical,N/A,N/A,Yes,No,No,No,No
49,Polymer - PEEK,Polymer,1.32,95,100,85-90 R-scale (Rockwell M),3.8,45,40,0.25,0,1340,343,260,Excellent (chemicals & steam),High,Medium,,Fair,Fair,High,Very Light,Medium,No,Aerospace/medical implants;high-temp bearings;semiconductor parts,Injection molding;Machining,"Retains strength at high temperature, excellent chemical resistance",Very high material cost,peek,Polymer,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
50,Polymer - PTFE,Polymer,2.2,10,25,50-65 Shore D,0.5,8,300,0.25,0,1000,327,260,Outstanding (nearly universal),"Low (self-lubricating, low friction)",Medium,,Poor (gummy),Poor (creeps under load),Medium,Light,Low,No,Seals;gaskets;non-stick coatings;chemical linings,Sintering;Machining;Molding,Near-universal chemical resistance;very low friction,Low strength; cold-flows (creeps) under sustained load,ptfe,Polymer,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
51,Composite - CFRP (Carbon/Epoxy),Composite,1.55,,600,,70,300,1.2,5,10000,1000,,150,Excellent,High,Medium (brittle in through-thickness),N/A (bonded/fastened),Poor (tool wear),Poor (fixed layup),High,Very Light,Low,No,Aircraft/racecar structures;drone frames;sporting goods,Layup;Autoclave curing;Filament winding,Very high stiffness/strength-to-weight ratio,High cost;brittle failure;difficult to recycle,cfrp,Composite,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
52,Composite - GFRP (Glass/Epoxy),Composite,1.85,,450,,25,220,2.5,0.35,0,1000,,120,Excellent,Medium,Medium,N/A (bonded/fastened),Poor,Poor (fixed layup),Medium,Light,Low,No,Boat hulls;wind turbine blades;tanks/pipes,Layup;Pultrusion;Filament winding,Good strength at lower cost than carbon fiber; electrically insulating,Lower stiffness than CFRP; heavier,gfrp,Composite,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
53,Composite - Kevlar (Aramid/Epoxy),Composite,1.38,,700,,28,250,3,0.04,0,1420,,175,Excellent,Medium-High,Very High,N/A (bonded/fastened),Poor,Poor (fixed layup),High,Very Light,Low,No,Body armor;ballistic panels;rope/cable reinforcement,Layup;Weaving;Molding,Outstanding impact and ballistic energy absorption,Absorbs moisture; degrades in UV; hard to cut/machine,kevlar,Composite,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
54,Composite - Basalt FRP,Composite,2,,500,,30,230,2.5,0.035,0,1000,,150,Excellent,Medium,Medium,N/A (bonded/fastened),Poor,Poor (fixed layup),Medium,Light,Medium,No,Rebar reinforcement;pipes;marine structures,Pultrusion;Layup,"Good strength, better heat/alkali resistance than glass fiber at similar cost","Newer material, fewer long-term field data",basalt frp,Composite,To be verified,Typical,N/A,N/A,Yes,No,No,Yes,No
55,Composite - Carbon-Carbon (C/C),Composite,1.75,,150,,40,80,0.5,80,20000,1000,,2500,Excellent (inert atm.); oxidizes in air >450C,High,Low (brittle),,Poor (specialized tooling),Poor (fixed shape),Very High,Light,Low,No,Rocket nozzles;brake discs (aircraft/F1);re-entry heat shields,CVD/CVI densification;Machining,Retains strength to extreme temperatures in inert atmosphere; low density,Oxidizes rapidly in air above ~450C; very high cost,carbon-carbon,Composite,To be verified,Typical,N/A,N/A,Yes,Yes,No,Yes,No
56,Magnesium Alloy AZ31B,Magnesium Alloy,1.77,200,260,49 HB,45,90,15,76.9,10.9,1025,630,150,Fair (needs coating in humid/salt environments),Low,Medium,Good,Excellent,Good,Medium,Very Light,High,No,Aerospace brackets;electronic housings;automotive wheels;ladders,Extrusion;Rolling;Forging;Machining,Lowest density of common structural metals;excellent machinability;good vibration damping,Poor corrosion resistance uncoated;flammable as fine chips/powder,"AZ31B, magnesium, wrought, lightweight",Magnesium Alloy,MatWeb / AMS 4375-4377 spec sheet - verified,Verified (spot-checked),N/A,N/A,Yes,No,No,No,No
57,Magnesium Alloy AZ91D,Magnesium Alloy,1.81,160,230,63 HB,45,70,3,72,6.7,1020,596,120,Fair,Low,Low,Fair,Excellent,Poor (cast only),Low,Very Light,High,No,Automotive housings;power tool bodies;electronics enclosures;laptop cases,Die Casting,Excellent castability;lowest-cost magnesium alloy;good EMI/RFI shielding,Low ductility;poor corrosion resistance uncoated,"AZ91D, magnesium, die cast",Magnesium Alloy,MatWeb / industry datasheets - verified,Verified (spot-checked),N/A,N/A,Yes,No,Yes,No,No
58,Cast Iron - Gray Iron (ASTM A48 Class 30),Cast Iron,7.15,,207,187-241 HB,100,97,0.5,52,1.4,490,1200,400,"Fair (rusts, but better vibration/graphite behavior than steel)",High (self-lubricating graphite),Low (brittle),Poor,Excellent,Poor (cast only),Low,Heavy,High,Yes,Engine blocks;machine tool beds;brake rotors/drums;pipe fittings,Sand Casting;Die Casting,Excellent vibration damping;excellent machinability;low cost,"Brittle, low tensile/impact strength;poor weldability","gray iron, cast iron, class 30, a48",Cast Iron,ASTM A48 spec / MatWeb - verified,Verified (spot-checked),N/A,N/A,No,No,Yes,No,No
59,Cast Iron - Ductile Iron (65-45-12),Cast Iron,7.1,310,448,170-207 HB,168,200,12,36,1.4,460,1150,400,Fair,Medium-High,Medium,Fair,Good,Poor (cast only),Low-Medium,Heavy,High,Yes,Crankshafts;gears;pipe fittings;heavy machinery housings,Sand Casting;Centrifugal Casting,Good balance of strength and ductility for cast iron;good wear resistance,Lower strength than steel;casting porosity risk,"ductile iron, nodular iron, 65-45-12",Cast Iron,To be verified,Typical,N/A,N/A,No,No,Yes,No,No
60,Cast Iron - Malleable Iron (ASTM A220 M3210),Cast Iron,7.3,230,340,156-197 HB,175,150,10,44,1.6,480,1230,350,Fair,Medium,Medium-High (better than gray iron),Fair,Good,Poor (cast only),Medium,Heavy,High,Yes,Pipe fittings;automotive suspension parts;hand tool bodies,Casting + Annealing heat treatment,Better ductility/toughness than gray iron;good machinability,Requires long annealing cycle;section-size limited,"malleable iron, a220, m3210",Cast Iron,To be verified,Typical,N/A,N/A,No,No,No,No,No
61,Zinc Alloy Zamak 3,Zinc Alloy,6.6,210,283,82 HB,96,56,10,113,15.7,419,387,100,"Good (with plating), Fair bare",Medium,High (good impact strength),Poor,Excellent,"Excellent (die casting, fine detail)",Low,Heavy,High,No,Door handles;toy parts;automotive trim;electrical connectors,Die Casting,Excellent castability for fine detail/thin walls;low melting point saves energy;good impact strength,Low max service temperature;dimensional creep over years (aging),"zamak 3, zinc alloy, die cast",Zinc Alloy,Nathan Trotter TDS / NADCA - verified,Verified (spot-checked),N/A,N/A,No,No,Yes,No,No
